交易日期,開盤價,最高價,最低價,收盤價,漲跌(元),漲跌(%),成交張數,成交筆數,成交均張,成交億元,外資,投信,自營,合計,外資持股(%),融資增減,融資餘額,融券增減,融券餘額,券資比(%)
9月25日,261.5,264,260.5,263.5,2,0.76%,"24,978","10,082",2.5,65.5,"5,016",66,486,"5,568",78.3,-15,"11,075",13,"3,447",31.1
9月21日,261.5,261.5,258,261.5,1.5,0.58%,"36,501","10,159",3.6,95.1,"6,299",-59,180,"6,420",78.3,101,"11,090",35,"3,434",31
9月20日,261.5,261.5,257.5,260,2,0.78%,"35,577","9,444",3.8,92.3,"13,889",565,-501,"13,953",78.3,-313,"10,989",84,"3,399",30.9
9月19日,258,260,257,258,3.5,1.38%,"69,979","14,056",5,180.7,"18,000",165,538,"18,703",78.2,135,"11,302",236,"3,315",29.3
9月18日,256.5,257,254,254.5,-3.5,-1.36%,"34,381","11,097",3.1,87.7,"5,339",722,17,"6,078",78.1,410,"11,167",-197,"3,079",27.6
9月17日,262.5,262.5,257,258,-3,-1.15%,"25,041","10,710",2.3,64.8,"2,614",856,674,"4,144",78.1,674,"10,757",-116,"3,276",30.5
9月14日,257,261.5,257,261,6,2.35%,"40,034","15,690",2.6,103.8,"12,051",382,523,"12,956",78.1,-246,"10,083",222,"3,392",33.6
9月13日,260,260,253.5,255,-5.5,-2.11%,"37,959","14,987",2.5,97.2,"-6,887",404,"1,631","-4,852",78,519,"10,329",-323,"3,170",30.7
9月12日,261,262,258,260.5,0.5,0.19%,"38,416","12,104",3.2,99.9,"7,626",-191,"1,441","8,876",78.1,140,"9,810",94,"3,493",35.6
9月11日,263,263.5,258,260,-4.5,-1.70%,"44,981","14,768",3,117.1,742,317,"1,538","2,597",78,67,"9,670",-459,"3,399",35.1
9月10日,266.5,266.5,262.5,264.5,0.5,0.19%,"62,852","15,504",4.1,166.7,"13,894",-354,-890,"12,650",78,-580,"9,603",64,"3,858",40.2
9月7日,263,264,260.5,264,3,1.15%,"44,747","15,015",3,117.5,"11,807",89,"-1,350","10,546",78,-942,"10,183",221,"3,794",37.3
9月6日,268,268,261,261,-3,-1.14%,"39,779","11,996",3.3,104.7,"2,227",181,-487,"1,921",77.9,-127,"11,125",41,"3,573",32.1
9月5日,260,264.5,259,264,6.5,2.52%,"52,706","16,421",3.2,138.3,"10,054",210,"-2,061","8,203",77.9,283,"11,252",375,"3,532",31.4
9月4日,258.5,259.5,255.5,257.5,0.5,0.19%,"41,456","9,069",4.6,106.5,"1,092",107,299,"1,498",77.9,165,"10,969",-30,"3,157",28.8
9月3日,259,260,256.5,257,1,0.39%,"34,511","11,442",3,89,"8,344",55,"-1,389","7,010",77.9,-335,"10,804",159,"3,187",29.5
